epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.8203125,,,
0,99,,,,0.8125,,,
0,149,,,,0.8828125,,,
0,187,,,,,,0.9329166412353516,0.23444592952728271
0,187,,,0.7898125052452087,,1.3601973056793213,,
1,199,,,,0.91796875,,,
1,249,,,,0.8984375,,,
1,299,,,,0.91015625,,,
1,349,,,,0.9375,,,
1,375,,,,,,0.9455833435058594,0.18508487939834595
1,375,,,0.8967916369438171,,0.3557085692882538,,
2,399,,,,0.94140625,,,
2,449,,,,0.90625,,,
2,499,,,,0.8984375,,,
2,549,,,,0.91796875,,,
2,563,,,,,,0.9490000009536743,0.17614516615867615
2,563,,,0.9100624918937683,,0.3089562654495239,,
3,599,,,,0.90625,,,
3,649,,,,0.91796875,,,
3,699,,,,0.87109375,,,
3,749,,,,0.89453125,,,
3,751,,,,,,0.9260833263397217,0.27881425619125366
3,751,,,0.9208541512489319,,0.2806805968284607,,
4,799,,,,0.91796875,,,
4,849,,,,0.9375,,,
4,899,,,,0.92578125,,,
4,939,,,,,,0.9524166584014893,0.16321946680545807
4,939,,,0.9259166717529297,,0.26568421721458435,,
5,949,,,,0.91015625,,,
5,999,,,,0.91796875,,,
5,1049,,,,0.9296875,,,
5,1099,,,,0.95703125,,,
5,1127,,,,,,0.9621666669845581,0.13233104348182678
5,1127,,,0.9300416707992554,,0.2502516210079193,,
6,1149,,,,0.9296875,,,
6,1199,,,,0.91015625,,,
6,1249,,,,0.9609375,,,
6,1299,,,,0.94921875,,,
6,1315,,,,,,0.9559166431427002,0.15492768585681915
6,1315,,,0.9333124756813049,,0.23513007164001465,,
7,1349,,,,0.9140625,,,
7,1399,,,,0.94921875,,,
7,1449,,,,0.93359375,,,
7,1499,,,,0.96484375,,,
7,1503,,,,,,0.953249990940094,0.1637994349002838
7,1503,,,0.9348958134651184,,0.23108941316604614,,
8,1549,,,,0.94140625,,,
8,1599,,,,0.921875,,,
8,1649,,,,0.9296875,,,
8,1691,,,,,,0.9564999938011169,0.16591094434261322
8,1691,,,0.9380000233650208,,0.21962617337703705,,
9,1699,,,,0.91796875,,,
9,1749,,,,0.9375,,,
9,1799,,,,0.91015625,,,
9,1849,,,,0.93359375,,,
9,1879,,,,,,0.9569166898727417,0.15980485081672668
9,1879,,,0.940416693687439,,0.21257978677749634,,
10,1899,,,,0.93359375,,,
10,1949,,,,0.953125,,,
10,1999,,,,0.96484375,,,
10,2049,,,,0.9453125,,,
10,2067,,,,,,0.9639166593551636,0.13137546181678772
10,2067,,,0.9424166679382324,,0.21246640384197235,,
11,2099,,,,0.90234375,,,
