epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,321.665283203125,,
0,5,,,,,,144056.40625,237.4442901611328
0,5,,,814513.4375,562.0543212890625,,,
1,9,,,,,196.66456604003906,,
1,11,,,,,,133880.890625,234.72076416015625
1,11,,,178587.125,271.79632568359375,,,
2,14,,,,,154.97169494628906,,
2,17,,,,,,129330.65625,235.1165008544922
2,17,,,149653.953125,245.12754821777344,,,
3,19,,,,,215.60595703125,,
3,23,,,,,,131424.265625,238.7292938232422
3,23,,,162659.75,260.11517333984375,,,
4,24,,,,,234.77110290527344,,
4,29,,,,,162.49244689941406,,
4,29,,,,,,126520.4921875,238.51100158691406
4,29,,,157847.84375,255.04605102539062,,,
5,34,,,,,143.64324951171875,,
5,35,,,,,,122451.84375,244.5124969482422
5,35,,,137641.9375,240.3131866455078,,,
6,39,,,,,191.84246826171875,,
6,41,,,,,,153234.15625,261.90924072265625
6,41,,,124918.296875,232.06581115722656,,,
7,44,,,,,264.5729064941406,,
7,47,,,,,,141814.734375,253.93284606933594
7,47,,,148604.953125,249.67649841308594,,,
8,49,,,,,234.1297149658203,,
8,53,,,,,,178844.359375,284.9559020996094
8,53,,,134424.65625,238.0107421875,,,
9,54,,,,,313.46453857421875,,
9,59,,,,,196.16714477539062,,
9,59,,,,,,127917.09375,251.95347595214844
9,59,,,148718.9375,254.28575134277344,,,
10,64,,,,,183.16439819335938,,
10,65,,,,,,124352.4765625,256.9859924316406
10,65,,,125953.796875,229.78076171875,,,
11,69,,,,,253.49237060546875,,
11,71,,,,,,121086.78125,247.9006805419922
11,71,,,154181.84375,262.03662109375,,,
12,74,,,,,282.0298156738281,,
12,77,,,,,,122637.6953125,244.37973022460938
12,77,,,129544.984375,247.50743103027344,,,
13,79,,,,,215.7657470703125,,
13,83,,,,,,120143.0078125,246.3052215576172
13,83,,,135527.515625,246.0061798095703,,,
14,84,,,,,210.50958251953125,,
14,89,,,,,184.34645080566406,,
14,89,,,,,,129205.7265625,249.3215789794922
14,89,,,127315.5234375,236.46209716796875,,,
15,94,,,,,187.75413513183594,,
15,95,,,,,,122798.6015625,255.02236938476562
15,95,,,133999.40625,241.50454711914062,,,
16,99,,,,,249.20591735839844,,
16,101,,,,,,121875.34375,245.68194580078125
